Respondent,angular/angular.js,asp.net,django,drupal,express,flask,jquery,laravel,other(s):,react.js,ruby on rails,spring,vue.js
15139,,,,,,,,,,,,,1.0
15140,,,,,,,1.0,,1.0,,,,
15141,,1.0,,,,,1.0,,,,,,1.0
15142,,,,,,,1.0,1.0,1.0,1.0,,,
15143,,,,,,,,,,,,,
15144,,,,,,,1.0,1.0,,1.0,,,
15145,,1.0,,,,,,,,,,,
15146,,,,,,,,,,1.0,,,1.0
15147,,,,,,,,,,,,,
15148,,,,,,,,,,,,,
15149,,,,,,,,,,1.0,,,
15150,,,,,,,,,,,,,
15151,,,,,,,,,,1.0,,,
15152,,,,,,1.0,,,1.0,,,,
15153,,,,,,,,,1.0,,,,
15154,1.0,,,,,,1.0,,,,,,1.0
15155,,,,,,,,,,,,,
15156,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,
15157,,,,,,,,,,,,,
15158,,,,,,,1.0,1.0,,,,,
15159,,,,,,,,,,,,,
15161,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0
15162,1.0,1.0,,,,,,,,,,,
15163,,,1.0,,,,,,,,,,
15164,,,,,,,,,,,,,
15165,,,,,1.0,,,,,1.0,,,
15166,1.0,1.0,,,,,1.0,,,,,,1.0
15167,,,,,,,1.0,,,1.0,,,
15168,,,,,,,1.0,,,,,,
15169,1.0,,,,1.0,,,,,1.0,,,
15170,,,,,,,1.0,,1.0,,,,
15171,1.0,,,,,,1.0,,1.0,1.0,,,
15172,,,,,,,,,,,,,
15173,,,,,,,,,,,,,
15174,,,,,,,,,,,,,
15175,,,,,,,,,,,,,
15176,,,,,,,,,,,1.0,,
15178,,1.0,,,,,,,,,,,
15179,,,,,,,,,,,,,
15180,1.0,,,,,,1.0,,,,,1.0,
15181,,,,,,,,,1.0,,,,
15182,,,,,1.0,,1.0,,,1.0,,,
15183,,,,,,,1.0,,,1.0,,,
15184,,,,,,,,,,,,,
15185,1.0,1.0,,,1.0,,1.0,,,1.0,,,
15186,,,,,,,1.0,,1.0,,,,
15187,1.0,1.0,,,,,1.0,,,1.0,,,1.0
15188,,,,,,,,,,,,,
15189,,,,,,,,,,,,,
15190,,,,,,,,,,1.0,,,
15191,1.0,1.0,,,,,1.0,,,,,,
15192,,,,,,,,,,,,,
15193,,,,,,,,,,,,,
15194,,,,,1.0,,1.0,,,1.0,,,
15195,,,,,,,1.0,,,,,,
15196,,,,,,,,,,,,,
15197,,,,,,,,,,,,,
15198,,,1.0,1.0,,1.0,1.0,,,,,,
15199,,,,,,,,,,,,,
15200,,,,,,,,,,,,,
15201,,,,,,,,,,1.0,,1.0,
15202,,,,,,,1.0,,,,,,
15203,,,,,,,,,,1.0,,,
15204,1.0,,,,,,1.0,,,1.0,,,
15205,1.0,,,,,,,,1.0,,,,
15206,,,,,,,1.0,,1.0,1.0,,,
15207,1.0,1.0,,,,,,,,,,,
15209,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0
15210,,,,,,,,,,,,,
15211,,,,,,,,,,,,,
15212,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0
15213,,,,,,,,,,,,1.0,
15214,,,,,,,,1.0,,1.0,,,
15215,,,,,,,,,,,,1.0,
15216,,,,,,,1.0,,,,,,
15217,,,,,,,1.0,1.0,,,,,
15218,,,,,1.0,,,1.0,,1.0,,,1.0
15219,,,,,,,,,,,,1.0,
15220,1.0,,,,,1.0,,,,,,,
15221,,,,,1.0,1.0,,,,1.0,1.0,,
15222,1.0,,,,,,1.0,,,1.0,,,
15223,,,,,,,,,,,1.0,,
15224,,,,,,,,,,,,,
15225,,,,,,,,,,,,,
15226,,,,,,,,,,,,1.0,
15227,,,,,,,,,,,,,
15228,,1.0,,,1.0,,,,,,,,
15229,1.0,,,,,,,,,,,1.0,
15230,,,,,,,,,,,,,
15231,,,1.0,,,,,,,,,,
15232,,,,,,,,,1.0,,,,
15233,1.0,,,,,1.0,,,,,,,
15234,,,,,,,,,,,,,
15235,,,,,,,1.0,1.0,,,,,
15236,,,,1.0,,,1.0,,,,,,
15237,1.0,,,,,,1.0,,,,,,
15238,1.0,,,,,,1.0,,,,,,1.0
15239,1.0,1.0,,,,,1.0,,,,,,
15240,1.0,,,,,,1.0,,1.0,1.0,,,1.0
15241,1.0,,,,,,,,,,,,
15242,1.0,,,,,,1.0,,,1.0,,,
15243,,1.0,,,,,,,,,,,
15244,,,,,,,,,1.0,,,,
15245,,,,,,,,,,,,,
15246,1.0,,,,1.0,,,,,,,,1.0
15247,,,,,,,,,,,,,
15248,,1.0,,,,,,,,,,,
15249,,,,,1.0,,1.0,,,1.0,,,
15250,,,,,,,,,,,,,
15251,,,,,,,,,,,,,
15252,,,,,1.0,,1.0,,,,,1.0,
15253,,,,,,,,,,,,1.0,
15254,1.0,,,,,,1.0,,,,,,
15255,1.0,1.0,,,,,1.0,,,1.0,,,
15256,,,,,,,,,,,,,
15257,,,,,,,,,,,,,
15258,,1.0,,,,,1.0,,,1.0,,,
15259,,,,,,,,,,,,,
15260,,,,,,,,,1.0,,,1.0,
15261,,,,,1.0,,,,,1.0,,,
15262,1.0,1.0,,,,,,,,,,,
15263,,,,,,,,,,,,,
15264,,,,,,,1.0,,,,,,
15265,,1.0,,,,,1.0,,,,,,
15266,,1.0,,,,,,,,1.0,,,
15267,,,,,,,,,,,,,
15268,,,,,1.0,,1.0,,,1.0,,,1.0
15269,,,,,,,,1.0,,,,,
15270,1.0,1.0,,,,,1.0,,,,,,
15271,,,,,,,,,,,1.0,,
15272,,1.0,,,,,,,,,,,1.0
15273,,,,,,,,,1.0,,,,
15274,,,,,,,,,,1.0,,,
15275,,,,,,,,,,,,,
15276,,,,,,,,,,,,,
15277,,1.0,,,,,1.0,,,,,,
15278,,,,,,,1.0,,,1.0,,,
15279,,,,,,,,,,,,,
15280,,,,,,,,1.0,,1.0,,,
15281,,,,,,,,,,1.0,,1.0,
15282,1.0,,,,1.0,,,,,,,1.0,
15283,,,,,,,1.0,1.0,,,,,
15284,,,,,,,1.0,1.0,,,,1.0,
15285,,,,,,,1.0,,,,,1.0,
15286,,,,,,,1.0,,,,,,
15287,,,,,1.0,,,,,1.0,,,
15288,1.0,1.0,,,,,,,,,,,1.0
15289,1.0,,,,,,,,,,,,
15290,1.0,,,,1.0,,1.0,,,1.0,1.0,,
15291,,1.0,,,,,1.0,,,,,,
15292,1.0,,,,,,1.0,,,1.0,,1.0,
15293,,,,,,1.0,,1.0,,,,1.0,1.0
15294,,,,,,,,,,,,,
15295,,,,,,,,,,,,,
15296,,,,,,,,,,,,,
15297,,,,,,,,,1.0,,,,
15298,,,,,,,1.0,,,,,1.0,1.0
15299,1.0,,,,,,1.0,,,,,1.0,
15300,,,,,,1.0,1.0,,,,,,
15301,,,,,1.0,1.0,1.0,,,,,,1.0
15302,1.0,,,,1.0,,,,,1.0,,,
15303,,,,,,,,,,1.0,,,1.0
15304,,,1.0,,1.0,1.0,,1.0,,,,,1.0
15305,1.0,1.0,,,1.0,,,,,1.0,,1.0,
15306,,1.0,,1.0,,,,,,,,,
15307,,,1.0,,,1.0,,,1.0,,,,
15308,,,1.0,,1.0,1.0,1.0,,,1.0,,,
15309,,,,,,,,,,,,,
15310,1.0,,,,,,,,,1.0,,,
15311,,,,,,,,,,,,,
15312,,,,,1.0,,,,,1.0,,,
15313,,1.0,,,,,1.0,1.0,,,,,
15314,,,,,,,,,,,,,
15315,,,,,,,1.0,,,,,,
15316,,,,,1.0,,,,,1.0,,,
15317,,,,,,,,,,,,,
15318,,,,,,,,,,1.0,,,
15319,,1.0,,,1.0,,,,,1.0,,,
15320,1.0,,,,1.0,,1.0,,,1.0,1.0,,
15321,,,,,,,,,,,,,
15322,1.0,,,,,,1.0,1.0,,,,,1.0
15323,1.0,1.0,,,1.0,,,,,1.0,,,
15324,,,,,,,,,,,,,
15325,,,,,,,,,,,,,
15326,,,,,,,,,,1.0,,,
15327,,,,,,,,1.0,,1.0,,,
15328,,,,1.0,,,1.0,,1.0,1.0,,,
15329,1.0,,,,,,,1.0,,,,,
15330,1.0,,,,,,1.0,,,,,,
15331,,,,,,,,,,,,,
15332,,,,,,,,,,,,,
15333,1.0,,,,,,1.0,,,,,,
15334,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0
15335,,,,,1.0,,,,,,,,
15336,,,,,,,1.0,,,,,,
15337,,,,,,,,,,1.0,,,
15338,,,1.0,,,,1.0,,,,,,1.0
15339,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,
15340,,,,,,,,,,1.0,,,
15341,,,,,,,,1.0,,,,,1.0
15342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15343,,,,,,,1.0,,,,,,
15344,,,,,,,,,,,,,
15345,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0
15346,1.0,1.0,,,,,1.0,,,,1.0,,
15347,1.0,,,,1.0,,1.0,,,1.0,,,
15348,1.0,,,,,,1.0,,,,,1.0,
15349,,,1.0,,,,,,,,,1.0,1.0
15350,,,,,,,,,,,,,
15351,,,,,1.0,,1.0,,,1.0,1.0,,1.0
15352,,,,,,,,,,,,,
15353,,,,,,,,,,,,,
15354,,1.0,,,,,,,,,,,
15355,1.0,,,1.0,1.0,,1.0,,,,,,
15356,,,1.0,,,1.0,,,,,,,
15357,1.0,,,,,,1.0,,,,,,
15358,,,,,,,,,,,,,
15359,1.0,,,,,,,,,1.0,1.0,1.0,
15360,,,1.0,,,1.0,1.0,,,1.0,1.0,,
15361,,,,,,,1.0,1.0,,,,,
15362,,1.0,,,,,1.0,,,,,,
15363,,,,,,,1.0,,1.0,,,,
15364,,,,,,,1.0,,,1.0,,,
15365,,,,,,1.0,,,,,,,
15366,1.0,1.0,,,,,1.0,,,,,,
15367,,,,,,,,,,,,,
15368,1.0,1.0,,,,,1.0,,,1.0,,,
15369,1.0,,,,,,,,,1.0,,,
15370,,,,,,,,,,1.0,,,
15371,,,,,,,,,,,,,
15372,,1.0,,,,,1.0,,,,,,
15373,1.0,1.0,,,1.0,,1.0,,,1.0,,,
15374,1.0,,,,1.0,,,,,,,,
15375,,,,,,,,,,,,,
15376,1.0,,1.0,,1.0,1.0,,,,1.0,,,
15377,1.0,,,,,,,,,,,1.0,
15378,,1.0,,,,1.0,,,,,1.0,1.0,
15379,,,,,1.0,,1.0,,,1.0,,,1.0
15381,,,,,1.0,,1.0,1.0,,,,,
15382,,,,,,,,,,,,1.0,
15383,,,,,,,,,,,,1.0,
15384,,1.0,,,,,,,,,,,
15385,,,,,,,1.0,,,,,,
15386,,,,,,,1.0,,,1.0,,,
15387,,,1.0,,,1.0,,,,1.0,,,
15388,,,,,,,,,,,1.0,,
15389,1.0,1.0,,,,,1.0,,,1.0,,,
15390,1.0,,1.0,,,1.0,1.0,,,,,,1.0
15391,,,,,,,,,,,,,
15392,,,,,1.0,1.0,,,,,,,
15393,,,,,,,,,1.0,,,,
15394,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0
15395,,,,,,,,,,,,,
15396,,,,,,,,,,,,,
15397,,1.0,,,,,,1.0,1.0,,,,
15398,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,
15399,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0
15400,,,,,1.0,,,,,,,,
15401,,1.0,,,,,1.0,,,,,,
15402,1.0,,,,,,,,1.0,,,1.0,
15403,,,,,,,1.0,,,,,,
15404,,,,,,,,,,,,,
15405,,,,,,,,,,,,,
15406,,,,,,,,,,,,,
15407,,1.0,,,,,,,,1.0,,1.0,1.0
15408,,,,,,,,,,,,,
15409,,,,,,,,,,1.0,1.0,,
15410,,1.0,,,,,1.0,,,,,,
15411,,1.0,,1.0,,,1.0,,,,,,
15412,,,,,,,,,,,,,
15413,1.0,1.0,,,,,,,,,,,1.0
15414,,,,,,,,,,,,,1.0
15415,1.0,,,,,,,,,1.0,,,
15416,,,,,1.0,,1.0,,,1.0,,,
15417,,,,,,,,,,,,,
15418,1.0,1.0,,,,,,,,,,1.0,
15419,,,,,,,,,,,,,
15420,,,,,,,,,,,,,
15421,,,,,,,,,,,,,
15422,1.0,,,,,,,,,,,1.0,
15423,,,1.0,,,1.0,1.0,,,1.0,,,
15424,,,,,,,,,,,,,
15425,,,,,,,1.0,,,,,,
15426,,1.0,,,,,,,,,,,1.0
15427,1.0,,,,,,,,,,,,
15428,1.0,,1.0,,1.0,,1.0,,,1.0,,,
15429,1.0,,,,,,1.0,,,,,,
15430,,,,,,,,,,,,,
15431,,,,,1.0,,1.0,,,,1.0,,
15432,,1.0,,,,,1.0,,,1.0,,,
15433,,,,,1.0,,1.0,,,,,,
15434,,,,,,,,,,,,1.0,
15435,,,,,,,,,,,,,
15436,,,,1.0,,,1.0,,,,,,1.0
15437,,,,,,,,,,1.0,,,1.0
15438,1.0,,,,,,1.0,1.0,,1.0,1.0,,
15439,,,1.0,,,,,,,,,,
15440,,,,,,,,,,,,,
15441,,,,,,1.0,,,,,,,1.0
15442,,,,,,,,,,,,,
15443,,,,,,,,,,,1.0,,
15444,,,,,,1.0,,,,,,,
15445,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0
15446,,,,,,,,,,,,1.0,
15447,,,1.0,,,,,,,,,,
15448,,,,,,,,,,,,,
15449,,,,,,,,,,,,,
15450,,1.0,,,,,1.0,,,,,,
15451,1.0,1.0,,,,,,,,,,,
15452,,1.0,,,,,,,,,1.0,,
15453,,,,,,,,,,,,,
15454,,,,,,,,,,,,,
15455,,,,,,,,,,,,,
15456,,,,,1.0,,,,1.0,1.0,,,1.0
15457,,1.0,,,,,,,,,,,
15458,,1.0,,,,,1.0,,,,,,
15459,1.0,1.0,,,1.0,,1.0,,,,,,1.0
15460,,,,,,,,1.0,,,,,1.0
15461,,,,,,,,,1.0,,,,
15462,,,,,,,,,,,,,
15463,,1.0,,,,,1.0,,,,,,
15464,,,,,,,,,,,,,
15465,,,,,,,,,,,,,
15466,,,,,,,1.0,,,,,,
15467,,,,,,,,,,,,1.0,
15468,,,,,,,1.0,,1.0,,,,1.0
15469,1.0,,,,,,1.0,,,,,,
15470,1.0,,,,,,1.0,,,1.0,,,1.0
15471,,1.0,,,,,1.0,,,,,,
15472,,,,,,,,,,,,,
15474,,,,,,,,,,,,,
15475,,,1.0,,,,,,,,,,
15476,,,,,,,,,,1.0,,,
15477,,,,,,,,,,,,,
15478,,,,,,,,,,,,1.0,1.0
15479,,,,,,1.0,,,,,,,
15480,,,,,,,1.0,,,,,,
15481,,,,,1.0,,1.0,,,,,,
15482,,,,1.0,,,1.0,,,,,1.0,
15483,,,,,,,,,,,,,
15484,,,,,,,1.0,,,1.0,1.0,,1.0
15485,,,,,,,1.0,1.0,,,,,
15486,,,,,,,,,,,,,
15487,,,,,,,1.0,,,,,,
15488,1.0,,,,,,1.0,,,,,1.0,
15489,1.0,1.0,,,,,1.0,,,1.0,,,
15490,,,,,,,,,,,,,
15491,,,,,,1.0,,,1.0,,,,
15492,,,,,,,,,,,,,
15493,,1.0,,,,,,,,,,,1.0
15494,,1.0,,,,,,,,,,1.0,
15495,,,1.0,,,,1.0,1.0,,,,,
15496,,,,,,,,,,,,,
15497,,,,,1.0,,,,,1.0,,,
15498,,,,,,,,,,1.0,,,
15499,,,,,1.0,,,,,,,,
15500,1.0,,,,,,1.0,,,,,,1.0
15501,,,,,,,,,,,,,
15502,1.0,,,,1.0,,,,,1.0,,1.0,
15503,,,,,,,,,,,,,
15504,,,,,,,,,,,,,
15505,,,1.0,,1.0,,,,,,,,1.0
15506,,,,,,,,,,,,,
15507,,1.0,,,,,1.0,,,,,,
15508,,,,,,,1.0,,,,,,
15509,1.0,,,,,,1.0,1.0,,,,,
15510,,,1.0,,,,,,,,,,
15511,,,,,,,,,,,,1.0,
15512,,1.0,,,,,1.0,,,,,,
15513,,1.0,,,,,1.0,,,,,,
15514,,,,,,,,,,,,,
15515,,,,,,,,,,,,,
15516,,,,,,,,,,1.0,,,
15517,,,,,,,,,,,,,
15518,,,,,,,1.0,,,,,,
15519,,,,,,,,,,,1.0,,
15520,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,
15521,1.0,,,,,,,,,,,,
15522,1.0,,,,,,,,,1.0,,,
15523,1.0,,,,1.0,,1.0,,,,,,
15524,,,,,,,,,,,,,
15525,1.0,1.0,,,,,1.0,,,,,,
15526,,,,,,,1.0,,,,,,
15527,,,,,,,,,,,,,
15528,1.0,,,,,,,,,,,,
15529,,,1.0,,,,,,,1.0,,,
15530,,,,,,,,,,,,,
15531,,,,,,,,,,,,,
15532,,1.0,1.0,,,,1.0,,,,,1.0,
15533,,,,,,,,,,,,,
15534,,,,,,,,,,,,,
15535,1.0,,,,,,,,,,,,
15536,,,,,1.0,,,,,,,,1.0
15537,1.0,1.0,1.0,,,,1.0,,,,1.0,,
15538,,,,,,,,,,,,,
15539,,,,,,,,,,,,,
15540,,1.0,,,,,,,,,,,
15541,,,,,,,,,,,,,
15542,1.0,,1.0,,,,,,,,1.0,,
15543,,1.0,,,,,1.0,,,,,,
15544,1.0,,,,1.0,,,,,,,,
15545,,,,,1.0,,,,,1.0,,,
15546,,,,,,,,,,,,,
15547,,,,1.0,,,1.0,1.0,1.0,,,,1.0
15548,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0
15549,1.0,,,,,,1.0,1.0,,,,,
15550,,,,,,,,,,,,,
15551,,1.0,,,,,,,,1.0,,,
15552,,,,,,,,,,,,,
15553,,,,,,,,,,,,,
15554,1.0,1.0,,,,,1.0,,,1.0,,,
15555,,,,,,,,,,,,,
15556,,,,,,,,1.0,,1.0,,,1.0
15557,,,,,,,,,,,,,
15558,,,,,,,,,,,,,
15559,,,1.0,,,,,,,,,1.0,
15560,1.0,,,,1.0,,,,,,,,
15561,,,,,1.0,,1.0,,,,,1.0,1.0
15562,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0
15563,,,,,,,1.0,,,,,,1.0
15564,,,,,,,,,,,,,
15565,,,,,,,,,,,,,
15566,,,,,,,,,,,,,
15567,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,
15568,,,,,,,,,,,,,
15569,,,,,1.0,,,,,1.0,,,
15570,,,,,,,,,,1.0,,,
15571,,,,,,,,,1.0,,,,
15572,1.0,1.0,,,,,,,,,,,
15573,,,,,,,1.0,,,,,,
15574,,,1.0,,,,1.0,,,,,,
15575,1.0,1.0,,,,,1.0,,,1.0,,,
15576,,,,,,,,,,1.0,,,
15577,,,,,,,,,,,,,
15578,,,,,,,1.0,,,,,,
15579,,1.0,,,,,1.0,,,,,,
15580,1.0,,,,,,,,,,,,
15581,1.0,1.0,,,,,,,,,,,
15582,,,,,,,1.0,1.0,,,,,1.0
15583,1.0,1.0,,,,,1.0,,,,,,
15584,1.0,,,,,,,,,,,,
15585,,,,,,,1.0,,,,,,
15586,,,,,,,,,,,,,
15587,,1.0,,,,,1.0,,,,,,1.0
15588,,1.0,,,,,1.0,1.0,,,,1.0,
15589,1.0,,,,1.0,,,,,,,,
15590,1.0,,,,1.0,,,,,,,,
15591,,,,,,,,,,,,,
15592,,,,,,,,,,,,,
15593,,,,,,,,,,,,,
15594,,1.0,,,,,1.0,,,1.0,,,
15595,1.0,,,,,,,,,,,,
15596,,,,,1.0,,,,,1.0,,,1.0
15597,1.0,1.0,,,1.0,,1.0,,,,,,
15598,,,1.0,,,,,,,,,,
15599,,,,,,,1.0,1.0,,,,,
15600,,,,,,1.0,,,,,,,
15601,1.0,1.0,,,,,,,,,,,
15602,,,,,,,,,,,,,
15603,,,,,,,1.0,,,,1.0,,1.0
15604,,,,,,,1.0,,,,,1.0,
15605,,1.0,,,,,,,,1.0,,,
15606,,1.0,,,,,,,,,,,
15607,,,,,,,,1.0,1.0,1.0,,,
15608,,,,,,,,,,,,,
15609,,1.0,,,,,1.0,,,,,,
15610,,,,,,,,,,,,,
15611,,,,,,,,,,1.0,,,
15612,1.0,,,,,,,,,,,1.0,
15613,,1.0,,,,,,,,,,,
15614,,,,,,,1.0,1.0,,,1.0,,
15615,,,,,1.0,,1.0,1.0,1.0,,,,
15616,,,,,,,,,,,,,
15617,1.0,,,,,,1.0,1.0,,,,,
15618,,,,,,1.0,1.0,,,,,,
15619,,,,,,,,,,,,,
15621,,,,,,,,,1.0,1.0,,,
15622,1.0,,,,,,1.0,,,,,1.0,1.0
15623,1.0,1.0,,,,,1.0,,,,,,1.0
15624,,,,,1.0,,1.0,,,,,,1.0
15625,,,,,,,1.0,,,,,,
15626,1.0,,,,,,,,,,,1.0,
15627,1.0,,,,1.0,,,,,1.0,,1.0,
15628,1.0,,,,,,1.0,,1.0,,,,
15629,,,,,,,,,,,,,
15630,,,,,,,1.0,,,,,,
15632,1.0,,,,,,1.0,,,,,1.0,
15633,,,,,,1.0,,,,1.0,,1.0,
15634,,,,,,,,,,,,,
15635,,,,,,1.0,,,,,,,
15636,,,,,,,,,,,,,
15637,1.0,1.0,1.0,,,,1.0,,,,,,
15638,,,,,,,,,,,,,
15639,,,,,,,1.0,1.0,,,,,
15640,,,,,,,,,,,,,
15641,1.0,1.0,,,,,1.0,,,,,,
15642,1.0,1.0,,,,,1.0,,,1.0,,,1.0
15643,1.0,1.0,,,,,1.0,,,,,,
15644,1.0,,1.0,,,,,,1.0,,,,1.0
15645,1.0,1.0,,,,,1.0,,,,,1.0,
15646,1.0,,,,,,,,,1.0,,,
15647,,,,,,,,,,,,,
15648,,,,,,,,,,,,,
15649,,,,,,,,,,,,,
15650,,,,,,,,,,,,,
15651,,,,,,,1.0,1.0,,,,,
15652,1.0,,,,1.0,,,,,1.0,,,
15653,,,,,,,,1.0,,1.0,,,1.0
15654,,,,,,,,,,,,,
15655,,,,,,,,,,,,,
15656,,,,,,,,,,,,,
15657,,,1.0,,,,,,,,,,
15658,,,,,,,,,,,,,
15659,,,,,,,,,,,,,
15660,,,1.0,,,,1.0,,,,,,1.0
15661,,,,,,,,,,1.0,,,
15662,,,,,,,,,,,,1.0,
15663,1.0,1.0,,,1.0,,1.0,,,,,,
15664,,,,,,,,,,,,,
15665,,,,,1.0,,,,1.0,,,,1.0
15666,,,,,,,,,,1.0,,,
15667,,,1.0,,,,1.0,,,,,,
15668,1.0,,,1.0,,,1.0,,,,,,
15669,,1.0,,,,,,,,,,,
15670,,,,,,,,,,,,1.0,
15671,1.0,1.0,,,,,1.0,,,,,,
15672,,,,,,,,,,,,,
15673,,,,,,,,,,,,,
15674,,1.0,,,,,1.0,,,1.0,,,
15675,,,,,1.0,,,,,1.0,1.0,,
15676,,,,,,,1.0,,,1.0,,,
15677,1.0,,1.0,1.0,,,1.0,,,,,,
15678,1.0,1.0,,1.0,,,1.0,,,,,1.0,
15679,1.0,,,,,,,,,,1.0,,
15680,1.0,,,,,,,,,,,,
15681,,,,,,,1.0,,,1.0,,,
15682,,,,,,,1.0,,,,,1.0,
15683,1.0,,,,1.0,,,,,,,,
15684,,,,,,,,,,,,,
15685,,,1.0,,,,,,,,,,
15686,1.0,1.0,,,,1.0,,,,,,,1.0
15687,,,,1.0,,,,,1.0,,,,
15688,,,,,,,,,,,,,
15689,,1.0,1.0,,1.0,,1.0,,,,,,
15690,,,,,,,,,,,,,
15691,,,,,,,,,,,,,
15692,,1.0,,,,,1.0,,,,,,
15693,,,,,,,,,,,,,
15694,,,,,,,,,,,,,
15695,,,,,,1.0,,,,,,,
15696,1.0,,,,,,1.0,,1.0,,,1.0,
15697,,,,,,,,,,,,,
15698,1.0,,,,1.0,,,,,1.0,,1.0,
15699,,,,,,,,,,,,,
15700,1.0,,,,,1.0,1.0,,,,1.0,,
15701,,,1.0,,,,,,,,,,
15702,,,,,,,,,,1.0,,,
15703,,1.0,,,,,,,,,,,
15704,1.0,,,1.0,,,,,,,,,
15705,1.0,,,,,,1.0,,,,,,
15706,,,,,,,,,,,,,
15707,,1.0,,,,,1.0,,,,,,
15708,,,,,,,,,,,,,
15709,,,,,1.0,,,,,1.0,,,1.0
15710,,,,,,1.0,,,,,,,
15711,1.0,1.0,,,,,,,,,,,
15712,,,,,,,,,,,,,
15713,,,1.0,,,,,,,,,,
15714,,,,,,,,,,,,,
15715,1.0,,,,,,,,,,,,
15716,,,,,,,,,1.0,,,,
15717,1.0,,,1.0,,,1.0,,,,,1.0,
15718,1.0,,,,,1.0,1.0,,,,,,
15719,1.0,,,1.0,,,1.0,,,,,1.0,
15720,,,,,,,,,,1.0,,,
15721,,,,,,,,,,,,,
15722,1.0,,,,,,,,,,,,
15723,,,,,,,,,,,,,
15724,,1.0,,,,,,,,,,,
15725,,1.0,,,,,,,,,,,
15726,,,,,,,,,,,,,
15727,,,,,,,,,,,,,
15728,,1.0,,,,,,,,,,,
15729,,,,,,,1.0,,1.0,,,1.0,
15730,,,1.0,,,,1.0,,,,,,
15731,,,,,,,,,,,,1.0,
15732,,,,,,,1.0,,,,,,
15733,,,,,,,,,,,,,
15734,,,,,,,,,,,,,
15735,,,,,,,,,,,,,
15736,,,,,1.0,,,1.0,,,,,1.0
15737,1.0,1.0,,,,,1.0,,,,,,1.0
15738,,1.0,,,,,1.0,,,,,,
15739,,,,,,,1.0,1.0,,1.0,,1.0,
15740,,,,,,,,,,1.0,,,
15741,,1.0,,,,,,,,,,,
15742,,,,,,,,,,,,,
15743,,,,,,,,,,,,,
15744,,,,,,,,,,,,,
15745,,,,,,,,,,,,,
15746,,,,,,,,,,,,1.0,
15747,1.0,1.0,,,,,,,,,,,
15748,,,,,,,,,,,,,
15749,,,,,,,,,,,,,
15750,,,,,1.0,,,,,1.0,,1.0,
15751,1.0,,,,,,,,,,,1.0,
15752,1.0,1.0,,,,,1.0,,,,,,
15753,,,,,,,,,,,,,
15754,,1.0,,,,,1.0,,,,,,
15755,,,,,,,,,,,1.0,,
15756,,1.0,,,,,1.0,,1.0,,,,
15757,,,,,,,,,1.0,1.0,,1.0,
15758,,,1.0,,,,,,,,,,
15759,,,,,,,,,,,,,
15760,,,,,,,,,,,,,
15761,,,,,,,,,,,,,
15762,,,,,,,,,,,,,
15763,,,,,1.0,,,,,1.0,1.0,,
15764,,,,,,,1.0,1.0,,,,,
15765,,,,,,,,,1.0,,1.0,,
15766,,,,,,,,,,1.0,,,
15767,,,,,,,,,,,,1.0,
15768,,,,,1.0,,1.0,,,,,,1.0
15769,1.0,1.0,,,,,,,,,,1.0,
15770,,,,,,,,,,,,,
15771,1.0,,,,,,1.0,,,,,,
15772,,,,,,,1.0,,,1.0,,,
15773,,,,,,,,,,1.0,,,
15774,,,,,,,,,,,,,
15775,,1.0,,,,,,,,1.0,1.0,,
15776,,,,,,,1.0,1.0,,,,,
15777,,,,,,,1.0,1.0,,,,,
15778,1.0,,,,,,,,,1.0,,,
15779,,,,,,,1.0,,,,,,
15780,,,,,,,,,,,,,
15781,,1.0,,,,,1.0,,,,,,
15782,,,,,,,,,,,,,
15783,,,,,,,,,,,,1.0,
15784,1.0,,,,1.0,1.0,1.0,,,,,,
15785,,,,,1.0,,,,,,,1.0,
15786,,,1.0,,,,,,1.0,,,,
15787,1.0,,,,,,1.0,,,1.0,,,
15788,,1.0,,,1.0,,,,,1.0,,1.0,
15789,,,,,,,,,,,,1.0,
15790,,,,,,,,,1.0,,,1.0,
15791,,,,,,,1.0,1.0,,,,,1.0
15792,1.0,,,,1.0,,1.0,,,,,,1.0
15793,,,,,,,,,,,,,
15794,,,,,,,1.0,,,,,,
15795,,,,,,,1.0,1.0,,,,,
15796,,1.0,,,,,,,,,,,
15797,,,,,,,1.0,,,,,,
15798,,1.0,,,,,1.0,,,,,,
15799,,,,,1.0,,,,,1.0,,,
15800,,,,,,,,,,,,,
15801,,,,,,,,,,,,,
